Date,Distance (in AU)
 1953-Jan-19,0.002429125
 1953-Jan-20,0.00245332
 1953-Jan-21,0.002482699
 1953-Jan-22,0.002514608
 1953-Jan-23,0.002546792
 1953-Jan-24,0.002577574
 1953-Jan-25,0.002605888
 1953-Jan-26,0.002631186
 1953-Jan-27,0.002653287
 1953-Jan-28,0.002672192
 1953-Jan-29,0.002687917
 1953-Jan-30,0.002700353
 1953-Jan-31,0.00270919
 1953-Feb-01,0.002713898
 1953-Feb-02,0.002713768
 1953-Feb-03,0.002708016
 1953-Feb-04,0.002695914
 1953-Feb-05,0.002676958
 1953-Feb-06,0.00265104
 1953-Feb-07,0.002618608
 1953-Feb-08,0.002580807
 1953-Feb-09,0.002539554
 1953-Feb-10,0.002497523
 1953-Feb-11,0.002457995
 1953-Feb-12,0.002424524
 1953-Feb-13,0.002400451
 1953-Feb-14,0.002388319
 1953-Feb-15,0.002389364
 1953-Feb-16,0.002403256
 1953-Feb-17,0.002428197
 1953-Feb-18,0.002461338
 1953-Feb-19,0.002499347
 1953-Feb-20,0.002538966
 1953-Feb-21,0.002577402
 1953-Feb-22,0.002612552
 1953-Feb-23,0.002643044
 1953-Feb-24,0.002668175
 1953-Feb-25,0.002687767
 1953-Feb-26,0.002702
 1953-Feb-27,0.002711226
 1953-Feb-28,0.002715819
 1953-Mar-01,0.002716047
 1953-Mar-02,0.002711997
 1953-Mar-03,0.002703563
 1953-Mar-04,0.002690485
 1953-Mar-05,0.002672449
 1953-Mar-06,0.002649228
 1953-Mar-07,0.002620852
 1953-Mar-08,0.002587783
 1953-Mar-09,0.002551078
 1953-Mar-10,0.002512489
 1953-Mar-11,0.002474468
 1953-Mar-12,0.002440033
 1953-Mar-13,0.002412448
 1953-Mar-14,0.002394739
 1953-Mar-15,0.002389125
 1953-Mar-16,0.00239653
 1953-Mar-17,0.002416346
 1953-Mar-18,0.002446545
 1953-Mar-19,0.002484091
 1953-Mar-20,0.002525492
 1953-Mar-21,0.002567339
 1953-Mar-22,0.002606691
 1953-Mar-23,0.0026413
 1953-Mar-24,0.002669686
 1953-Mar-25,0.002691093
 1953-Mar-26,0.002705386
 1953-Mar-27,0.002712905
 1953-Mar-28,0.002714297
 1953-Mar-29,0.002710356
 1953-Mar-30,0.002701879
 1953-Mar-31,0.002689545
 1953-Apr-01,0.002673847
 1953-Apr-02,0.002655076
 1953-Apr-03,0.002633368
 1953-Apr-04,0.002608806
 1953-Apr-05,0.002581567
 1953-Apr-06,0.002552092
 1953-Apr-07,0.002521248
 1953-Apr-08,0.002490434
 1953-Apr-09,0.002461601
 1953-Apr-10,0.002437132
 1953-Apr-11,0.002419565
 1953-Apr-12,0.002411177
 1953-Apr-13,0.002413524
 1953-Apr-14,0.002427052
 1953-Apr-15,0.002450931
 1953-Apr-16,0.002483153
 1953-Apr-17,0.002520875
 1953-Apr-18,0.002560871
 1953-Apr-19,0.002599971
 1953-Apr-20,0.002635408
 1953-Apr-21,0.002665033
 1953-Apr-22,0.002687411
 1953-Apr-23,0.002701827
 1953-Apr-24,0.002708225
 1953-Apr-25,0.002707105
 1953-Apr-26,0.002699387
 1953-Apr-27,0.002686267
 1953-Apr-28,0.00266905
 1953-Apr-29,0.00264901
 1953-Apr-30,0.002627252
 1953-May-01,0.00260464
 1953-May-02,0.002581766
 1953-May-03,0.002559001
 1953-May-04,0.0025366
 1953-May-05,0.002514854
 1953-May-06,0.002494247
 1953-May-07,0.00247558
 1953-May-08,0.002460009
 1953-May-09,0.002448972
 1953-May-10,0.002443998
 1953-May-11,0.002446405
 1953-May-12,0.00245698
 1953-May-13,0.002475715
 1953-May-14,0.002501688
 1953-May-15,0.002533132
 1953-May-16,0.002567658
 1953-May-17,0.002602567
 1953-May-18,0.002635179
 1953-May-19,0.002663107
 1953-May-20,0.002684461
 1953-May-21,0.002697969
 1953-May-22,0.002703026
 1953-May-23,0.002699692
 1953-May-24,0.002688643
 1953-May-25,0.002671075
 1953-May-26,0.002648582
 1953-May-27,0.002622993
 1953-May-28,0.002596189
 1953-May-29,0.00256991
 1953-May-30,0.002545591
 1953-May-31,0.002524241
